"","X","asin","title","Brand","Firm","variationCSV","suction","Wok_1charge","db","pa","minutes","mins","hour","hours","mah","min","h"
"535",90,"B07TNYMRMC","costway robot vacuum cleaner, 2000pa suction cleaner smart schedule cleaning, remote control, super quiet self-charging robotic vacuums for pet hair, hard floor & thin carpet","B07TNYMRMC","COSTWAY","B07TNYMRMC,B07TJP1YJT",2000,120,"65;65;65","2000;2000;0;75;2200;0;75","120",NA,"3;5;3;5","3;5;3;5","2200;2200;2200;0;75","120;90;120;120","2200;2200;65;7;7;14;4;2200;3;5;0;24;3;5;0;75;1"
"536",2146,"B0969LC6SR","robot vacuum,deenkee dk600max robot vacuum cleaner 3-in-1 upgraded 2000pa auto robotic vacuum,120min runtime 6 cleaning mode robot vacuum for pet hair,hard floor&carpet(2.75""thin,self-charging,quiet)","DK600MAX","Deenkee","B0969LC6SR",2000,120,NA,"2000;2000;2000;600","120","120",NA,NA,"2600","120;120;120","2600;12;12;2;75;2000;2600;4;4"
"537",236,"B08FSKFSWM","robot vacuum,deenkee robot vacuum cleaner upgraded 2000pa suction 120mins runtime auto robotic vacuum,6 cleaning mode for pet hair, carpet,hard floor (2.75"" slim,daily schedule,quiet,self-charging)","B08FSKFSWM","Deenkee","None",2000,120,"45;75","2000;2000;2000;2000","110","120;120",NA,NA,"2600","120;120;110","2;75;60;2600;50"
"538",314,"B08S6YXV8S","robot vacuum,deenkee wi-fi/app/alexa robot vacuum cleaner and mop 2000pa suction for pet hair,hard floors,carpets(160 mins runtime,6 cleaning mode,smart navigation & mapping,self-charging,thin,quiet)","B08S6YXV8S","Deenkee","None",2000,160,"3;55;60","2000;2000;2000;2000;2000","160;160","160;160",NA,NA,NA,"160;160;160;160;300;360","2;4;12;3;1;2;6;650"
"539",1368,"B09KTT36FS","deenkee dk600 dk600max robotic vacuum cleaner replacement kit","DK600MAX","Deenkee","None",2000,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540",542,"B09NPH1Z65","robot vacuum cleaner e20, 2000pa suction, 150 min runtime, boundary strips included, quiet, super-thin, self-charging, compatible with alexa, ideal for pet hair, carpets, hard floors (white)","E20","Dopinmin","B09NRLQVLT,B09NXY2QGC",2000,150,"65","2000;150;20;2000","150;150",NA,"24","24","3200;3200","150;150;150;150","4;5;3200;3200;24;12;812;762;86;4;3"
"541",1434,"B09NRN8MWL","robot vacuum cleaner e20, 2000pa suction, 150 min runtime, boundary strips included, quiet, super-thin, self-charging, compatible with alexa, ideal for pet hair, carpets, hard floors (white)","E20","Dopinmin","None",2000,150,"65","2000;150;20;2000","150;150",NA,"24","24","3200;3200","150;150;150;150","4;5;3200;3200;24;12;812;762;86;4;3"
"542",169,"B086214HTZ","ecovacs deebot t8 aivi robot vacuum cleaner, vacumming and mopping in one-go, laser mapping, smart ai object recognition, on-demand live video, custom clean, 3+ hours of runtime","T8","ECOVACS","None",2000,180,NA,"",NA,NA,"3;3;3;3","3;3;3;3","5200","","3;3;5200;3;4;2;3"
"543",748,"B08CSVDHTR","ecovacs deebot t8 robot vacuum and mop cleaner, precise laser navigation, multi-floor mapping, intelligent object avoidance, full-customize clean, no-go and no-mop zones, auto-empty station compatible","T8","ECOVACS","None",2000,180,NA,"",NA,NA,NA,NA,NA,"","2"
"544",598,"B09XXDQGTS","robot vacuum cleaner, 3000pa powerful suction, super thin quiet, 130 mins runtime, self-charging robotic vacuum cleaner, ideal for pet hair hard floors carpets, eicobot r2010","B09XXDQGTS","EICOBOT","B09XXDQGTS",2000,130,NA,"3000;3000","130","130",NA,NA,"2600","130;130","2600;2;79"
"545",79,"B07R295MLS","eufy by anker, boostiq robovac 11s max, robot vacuum cleaner, super-thin, 2000pa super-strong suction, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets, black","11smax","eufy","B07R295MLS,B07R3S2PVX",2000,100,NA,"2000;2000;2000","100;100","100;60;40",NA,NA,NA,"100;100;100;60;40","12;2000;12"
"546",80,"B07R3S2PVX","eufy by anker, boostiq robovac 11s max, robot vacuum cleaner, super-thin, 2000pa super-strong suction, quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets, white","11smax","eufy","B07R295MLS,B07R3S2PVX",2000,100,NA,"2000;2000","100",NA,NA,NA,NA,"100","12"
"547",1659,"B07RY88BWM","eufy by anker, robovac g10 hybrid, robotic vacuum cleaner, smart dynamic navigation, 2-in-1 sweep and mop, wi-fi, super-slim, 2000pa strong suction, quiet, self-charging, for hard floors only","g10hy","eufy","B07RY88BWM,B08YD4WNLB",2000,80,NA,"2000;2000;2000","80;40",NA,NA,NA,NA,"80;40","12;12;10;2;10;10;10;10"
