asin,listed_date,isEligibleForSuperSaverShipping,Brand,Firm,market_ids,prices,ave_rating,title,variationCSV,suction,Wok_1charge,sales
B084SQPWLY,13/02/2020 00:00,FALSE,VAC,Yeedi,R20Q3,273.99,4.5,"yeedi vac robot vacuum with advanced mapping, 3000pa suction, deep cleaning, virtual boundary, carpet boost, app control, google home, alexa compatible, ideal for hard floor, carpet and pet family","B084SQPWLY,B09375TK8Z",3000,110,5671
B08J7P3PHB,22/09/2020 00:00,FALSE,B08J7P3PHB,Tesvor,R21Q2,369.99,5,"s7 robot vacuum, tesvor laser navigation strong suction robot vacuum cleaner compatible with alexa/app for pet hair real-time mapping, smart laser object recognition & no-go zone (5200mah battery)",None,2700,150,5703
B08RHMQC28,10/05/2021 00:00,TRUE,B08RHMQC28,NOISZ,R21Q3,209.5477778,4.246153846,"noisz by ilife s8 pro robot vacuum and mop 2 in 1, 2000pa, route planning, auto boosts on carpets, electrowall, good for hard floors, medium-pile carpets, gradient blue (nzs8 pro)","B07TXYHC7C,B085VR2WYR,B08RHMQC28",2000,100,5710
B095C2L224,19/05/2021 00:00,FALSE,X10,Dreametech,R21Q4,441.49,4.416666667,"dreametech l10 pro robotic vacuum with dual-line lidar navigation, 3d obstacle avoidance, 4000pa suction multi-level mapping, compatible with alexa/app, ideal for pet hair, wood, tile, white color","B08YNDH84H,B0978ZBZNK,B095C2L224",4000,150,5737
B07P2HG9JH,22/02/2019 00:00,FALSE,11s,eufy,R22Q1,124.99,4.45,"eufy boost iq robovac 11s (slim), 1300pa strong suction, super quiet, self-charging robotic vacuum cleaner, cleans hard floors to medium-pile carpets (black) (renewed)","B07P2HG9JH,B07XNQTJ8H",1300,100,5741
B095WMNGX4,01/01/2011 00:00,FALSE,i3,iRobot,R21Q2,465.9866667,4.45,"irobot roomba i3 (3150) wi-fi connected robot vacuum vacuum - wi-fi connected mapping, compatible with alexa and root rt0 coding robot: programmable stem toy for kids 6+",None,1700,75,5760
B08F6Z89LN,01/01/2011 00:00,TRUE,B08F6Z89LN,Bissell,R22Q1,353.2133333,3.9,"bissell spinwave hard floor expert robot, 2-in-1 wet mop and dry robot vacuum, wifi connected with structured navigation, 3115","B09JW2RS8Z,B0B6GSXNBH,B0B6GVBJSD,B0B6GLQLBQ,B0B6GT62DC,B08F6Z89LN",1500,100,5787
B07TXGQS3H,02/07/2019 00:00,TRUE,s45,roborock,R20Q2,379.7472727,4.4,"roborock s45max robot vacuum - precision navigation, strong suction, ideal for pet hair & most floor types",None,2000,180,5833
B09CTM8FQ3,17/08/2021 00:00,FALSE,B09CTM8FQ3,GOOOVI,R22Q1,325.5651786,4.163636364,robot vacuum and mop combo,None,1600,100,5836
B08MLFW9GR,01/01/2011 00:00,FALSE,B08MLFW9GR,PLAZALA,R20Q4,199.99,1.35,"robot vacuum cleaner, 3 in 1 automatic vacuuming/mopping/sweeping ultra slim quiet intelligent sweeping robot, 1800pa strong suction, pet hair, carpet,white",None,1800,90,5849
B0885Y6RY4,04/05/2020 00:00,TRUE,M520,Lefant,R20Q4,155.7042857,4.1,"lefant robot vacuum, m520 robotic vacuums cleaner, 2200pa strong suction, wi-fi connectivity robotic vacuum, compatible with alexa and google, self-charging, good for pet hair, carpets, hard floors",None,2200,120,5870
B08SQM9CNC,12/01/2021 00:00,FALSE,G850,Coredy,R21Q3,299.59,4.15,"coredy g850 robot vacuum, smart navigation, mopping & sweeping, 2500pa strong suction, robotic vacuum cleaner, wi-fi connected, compatible with alexa, ideal for pet hair, cleans hard floor to carpet",None,2500,120,5881
B09LCTQGF5,09/11/2021 00:00,FALSE,B09LCTQGF5,SQFZLL,R22Q1,451.3122222,4.35,"d380 robot vacuum, max suction 1600pa robotic vacuum cleaner (slim), quiet, multiple cleaning modes self-charging vacuum for pet hair hard floor",B09LCTQGF5,1600,100,5925
B095WVDKKJ,01/01/2011 00:00,FALSE,e5,iRobot,R21Q2,421.98,4.4,"irobot roomba e5 (5150) robot vacuum - wi-fi connected, compatible with alexa, self-charging robotic vacuum, black and root rt0 coding robot: programmable stem toy for kids 6+","B07QNM7YDM,B095WVDKKJ,B07ZHNK7P2,B07ZHMR977,B07ZHMPS1K",1700,90,5957
B08YNDH84H,11/03/2021 00:00,FALSE,X10,Dreametech,R21Q4,457.8554545,4.45,"dreametech l10 pro robot vacuum cleaner with dual-line lidar navigation, 3d obstacle avoidance, 4000pa suction multi-level mapping, compatible with alexa/app, ideal for pet hair, carpet, hard floors","B08YNDH84H,B0978ZBZNK,B095C2L224",4000,150,5975
B08ND6S318,13/11/2020 00:00,FALSE,K650,Yeedi,R21Q2,183.3233333,4.35625,"yeedi k650 robot vacuum, 2000pa wi-fi robotic vacuum cleaner with 800ml big dustbin and tangle-free brush, perfect for pet hair, carpets, hard floor, self-charging, compatible with boundary strips","B08ND6S318,B09TT3RN81",2000,130,5998
B07MXWT2VS,18/01/2019 00:00,FALSE,B07MXWT2VS,lexvss,R20Q2,202.489375,3.95,"premium automatic robot vacuum cleaner, 1500pa powerful suction, 650ml large dust box, smart app control/self-charging/anti-collision, good for pet hair, hard floor and low pile carpets (black)",B07MXWT2VS,1500,100,6061
B0915C3KDD,26/03/2021 00:00,FALSE,K8,OKP,R21Q2,297.49,4.95,"okp k8 robot vacuum and mop combo, 2000pa super suction, integrated design of dust box water tank, self charging, robotic vacuums for pet hair, blue",None,2000,150,6061
B08VHXZZ22,01/02/2021 00:00,FALSE,s7,roborock,R21Q2,662.49,4.657142857,"roborock s7 robot vacuum and mop, 2500pa suction & sonic mopping, robotic vacuum cleaner with multi-level mapping, works with alexa, mop floors and vacuum carpets in one clean, perfect for pet hair","B08VHXZZ22,B08VHZJ6R2",2500,180,6067
B08VHZJ6R2,17/03/2021 00:00,FALSE,s7,roborock,R21Q2,649.99,4.653846154,"roborock s7 robot vacuum and mop, 2500pa suction & sonic mopping, robotic vacuum cleaner with multi-level mapping, works with alexa, mop floors and vacuum carpets in one clean, perfect for pet hair","B08VHXZZ22,B08VHZJ6R2",2500,180,6067
B085L2QCMJ,02/09/2019 00:00,FALSE,B085L2QCMJ,Deenkee,R20Q4,172.99,4.55,"robot vacuum and mop combo, deenkee 3000pa wifi strong suction slim robot vacuum cleaner, self-charging robotic vacuum work with alexa, long runtime ultra-quiet robot vacuum for pet hair carpet floor",None,1600,100,6071
B08NR5TBS3,18/02/2021 00:00,FALSE,B08NR5TBS3,WYZE,R21Q2,248.885,4.391304348,"wyze robot vacuum with lidar mapping technology, 2100pa suction, no-go zone, wi-fi connected, self-charging, ideal for pet hair, hard floors and carpets",None,2100,110,6080
B087JCJWKW,02/03/2020 00:00,TRUE,a4s,ILIFE,R20Q4,165.99,4.35,"ilife a4s pro robot vacuum cleaner, 2000pa max, electrowall, quiet, automatic self-charging robotic vacuum cleaner, cleans hard floor to medium carpets, black","B09MJZS441,B087JCJWKW",2000,100,6164
B09LHBZ6KB,10/11/2021 00:00,FALSE,g20hy,eufy,R22Q1,299.99,4.286666667,"eufy by anker, robovac g20 hybrid, robot vacuum, dynamic navigation, 2500 pa strong suction, 2-in-1 vacuum and mop, ultra-slim, quiet, compatible with alexa, ideal for hard floors and pet hair","B09LHBZ6KB,B08MF8N8SD",2500,90,6187
B07D75MVX9,04/04/2018 00:00,FALSE,30c,eufy,R21Q1,249.8741667,4.452941176,"eufy by anker, boostiq robovac 30c, robot vacuum cleaner, wi-fi, super-thin, 1500pa suction, boundary strips included, quiet, self-charging robotic vacuum, cleans hard floors to medium-pile carpets","B07D75MVX9,B081T2LS87",1500,100,6192
B081T2LS87,01/12/2020 00:00,TRUE,30c,eufy,R21Q1,245.99,4.455555556,"eufy by anker, boostiq robovac 30c, robot vacuum cleaner, wi-fi, super-thin, 1500pa suction, boundary strips included, quiet, self-charging robotic vacuum, cleans hard floors to medium-pile carpets","B07D75MVX9,B081T2LS87",1500,100,6192
B07X53V3V6,27/08/2019 00:00,FALSE,30cmax,eufy,R21Q1,251.691,4.546153846,"eufy by anker, boostiq robovac 30c max, robot vacuum cleaner, wi-fi, super-thin, 2000pa suction, boundary strips included, quiet, self-charging, cleans hard floors to medium-pile carpets",None,2000,100,6219
B08CNCB44L,09/07/2020 00:00,FALSE,s4max,roborock,R22Q1,345.7042857,4.663636364,"roborock s4 max robot vacuum with lidar navigation, 2000pa strong suction, multi-level mapping, no-go zones, ideal for carpets and pets robotic vacuum","B09N3JKFFY,B09NM56KJM,B08CNCB44L",2000,180,6245
B0924DH948,09/04/2021 00:00,FALSE,A FAMREE,A FAMREE,R21Q3,130.9445455,4.048275862,"famree mt-200 robot vacuum cleaner, 1800pa strong suction wifi/app self-charging robotic vacuums quiet mini vacuum for hard floor, low/medium-pile carpets",B0924DH948,1800,110,6247
B07Z27CKPZ,12/10/2019 00:00,FALSE,614,iRobot,R20Q3,331.58,4.4,irobot roomba 614 robot vacuum with dual mode virtual wall barrier (2-pack),"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",600,90,6317
B092RZ7B7H,01/01/2011 00:00,FALSE,i3,iRobot,R21Q2,677.4163158,4.466666667,irobot roomba® i3 (3150) wi-fi® connected robot vacuum vacuum - wi-fi connected mapping with irobot braava jet m6 (6110) ultimate robot mop- wi-fi connected,"B08C4JXBPF,B092RZ7B7H,B092S13SJB",1700,75,6367
B08S7ND492,12/01/2021 00:00,FALSE,N8PRO,ECOVACS,R22Q1,659.3107143,4.028571429,"ecovacs deebot n8 pro+ robot vacuum and mop cleaner, with self empty station, 2600pa suction, laser based lidar navigation, carpet detection, multi floor mapping, personalized cleaning",None,2600,110,6386
B08F6Z89LN,01/01/2011 00:00,TRUE,B08F6Z89LN,Bissell,R21Q1,349.99,4.05,"bissell spinwave hard floor expert robot, 2-in-1 wet mop and dry robot vacuum, wifi connected with structured navigation, 3115","B09JW2RS8Z,B0B6GSXNBH,B0B6GVBJSD,B0B6GLQLBQ,B0B6GT62DC,B08F6Z89LN",1500,100,6401
B07ZHMTZ53,23/10/2019 00:00,FALSE,i7,iRobot,R20Q3,643.55,4.4,irobot roomba i7 (7150) robot vacuum with roomba e and i series replenishment kit,"B07Z27WFDL,B07ZHMTZ53",1700,75,6433
B077HW9XM7,31/05/2019 00:00,FALSE,N79S,ECOVACS,R20Q1,187.4557143,3.9,"ecovacs deebot n79s robotic vacuum cleaner with max power suction, upto 110 min runtime, hard floors and carpets, works with alexa, app controls, self-charging, quiet",None,1000,120,6436
B08S6TLQN5,12/01/2021 00:00,FALSE,N8,ECOVACS,R21Q4,499.4344444,4.157142857,"ecovacs deebot n8 pro robot vacuum and mop, strong 2600pa suction, laser based lidar navigation, smart obstacle detection, multi-floor mapping, fully customized cleaning, self empty station compatible",None,2600,110,6469
B07GNPDMRP,24/10/2018 00:00,TRUE,i7+,iRobot,R20Q1,929.5826144,4.316666667,"irobot roomba i7+ (7550) robot vacuum with automatic dirt disposal - empties itself for up to 60 days, wi-fi connected, smart mapping, works with alexa, ideal for pet hair, carpets, hard floors, black","B07GNPDMRP,B07TJTJRWG,B0B58Q3YQ6,B07Z27H651",1700,75,6540
B08LZ4JBBR,27/10/2020 00:00,FALSE,C50,360,R21Q1,167.5276923,3.992857143,"360 c50 robot vacuum cleaner, smart ir remote control, 2-in-1 vacuum and mop, 2600 pa strong suction, 4 cleaning modes, anti-drop sensors, automatic self charging robotic vacuum cleaner, ultra-thin","B08BRTD219,B08LZ4JBBR",2600,90,6561
B096Z9B1ZM,22/09/2021 00:00,FALSE,B096Z9B1ZM,HONITURE,R21Q4,550.2771429,4.743478261,"honiture q6pro robot vacuum cleaner, self emptying robot vacuum and mop combo, 3000pa suction, lidar navigation, multi-floor mapping, virtual boundary, ideal for pet hair and hard floor carpet (white)",B096Z9B1ZM,3000,250,6566
B08C4JXBPF,01/01/2011 00:00,TRUE,i3,iRobot,R21Q2,336.6892308,4.45,"irobot roomba i3 evo (3150) wi-fi connected robot vacuum – now clean by room with smart mapping works with alexa ideal for pet hair carpets & hard floors, roomba i3","B08C4JXBPF,B092RZ7B7H,B092S13SJB",1700,75,6567
B092S13SJB,01/01/2011 00:00,FALSE,i3,iRobot,R21Q2,376.0417442,4.466666667,irobot roomba® i3 (3150) wi-fi® connected robot vacuum vacuum - wi-fi connected mapping with irobot authentic replacement parts- roomba e and i series replenishment kit,"B08C4JXBPF,B092RZ7B7H,B092S13SJB",1700,75,6567
B0995PGB4K,12/07/2021 00:00,FALSE,D9MAX,Dreametech,R21Q4,333.99,4.257142857,"dreametech d9 max robot vacuum and mop combo, lidar navigation robot vacuum sweep and mop 2-in-1, 4000pa strong suction power, 150min runtime, compatible with alexa, map for carpet, hard floor","B0995PGB4K,B09VKZT1FQ",4000,150,6647
B08F6Z89LN,01/01/2011 00:00,TRUE,B08F6Z89LN,Bissell,R20Q4,248.6633333,4.175862069,"bissell spinwave hard floor expert robot, 2-in-1 wet mop and dry robot vacuum, wifi connected with structured navigation, 3115","B09JW2RS8Z,B0B6GSXNBH,B0B6GVBJSD,B0B6GLQLBQ,B0B6GT62DC,B08F6Z89LN",1500,100,6711
B00IPEZKBW,01/06/2016 00:00,FALSE,614,iRobot,R20Q3,232.0208333,4.4,"irobot roomba 614 robot vacuum- good for pet hair, carpets, hard floors, self-charging","B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",600,90,6721
B07Z277N74,12/10/2019 00:00,FALSE,614,iRobot,R20Q3,275.1,4.4,irobot roomba 614 robot vacuum with dual mode virtual wall barrier compatible with roomba 600/700/800/900 series,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",600,90,6721
B09B8VLQYG,04/11/2021 00:00,FALSE,B09B8VLQYG,HONITURE,R21Q4,499.99,4.517647059,"honiture q6 robot vacuum cleaner, 2-in-1 robot vacuum and mop, robotic vacuum self emptying, laser navigation, smart mapping, wi-fi connected, ideal for pet hair",B09B8VLQYG,2700,280,6726
B07L2YB8NW,27/10/2018 00:00,FALSE,r750,Coredy,R20Q3,179.7664286,4.344444444,"coredy r750 robot vacuum cleaner, fully upgraded, boundary strip supported, 360° smart sensor protection, strong max suction, super quiet, self-charge robotic vacuum, cleans pet fur, hard floor","B07RQC1GHZ,B07L2YB8NW",2200,120,6771
B07RK3BGCM,08/05/2019 00:00,FALSE,g30,eufy,R20Q3,359.99,4.355,"eufy by anker, robovac g30 edge, robot vacuum with smart dynamic navigation 2.0, 2000 pa suction, wi-fi, boundary strips, for carpets and hard floors, ideal for pet owners",None,2000,100,6854
B07TXYHC7C,29/07/2019 00:00,TRUE,B07TXYHC7C,NOISZ,R21Q3,164.3244444,4.2,"noisz by ilife s5 robot vacuum cleaner, electrowall, tangle-free suction port, quiet, automatic self-charging ideal for pet care, hard floor and low pile carpet, black","B07TXYHC7C,B085VR2WYR,B08RHMQC28",1000,100,6872
B085VR2WYR,01/01/2011 00:00,TRUE,S5PRO,NOISZ,R21Q3,176.99,4.05,"noisz by ilife s5 pro robot vacuum and mop 2 in 1, electrowall, automatic self-charging, water tank,tangle-free, quiet, ideal for pet care, hard floor and low pile carpet , black","B07TXYHC7C,B085VR2WYR,B08RHMQC28",1000,110,6872
B07GNRGDKP,29/10/2018 00:00,FALSE,i7,iRobot,R20Q3,589.0256897,4.4,"irobot roomba i7 (7150) robot vacuum- wi-fi connected, smart mapping, works with alexa, ideal for pet hair, works with clean base, black",None,1700,75,6889
B07Z27WFDL,12/10/2019 00:00,FALSE,i7,iRobot,R20Q3,1048,4.4,irobot roomba i7 (7150) robot vacuum with braava jet m6 (6110) ultimate robot mop,"B07Z27WFDL,B07ZHMTZ53",1700,75,6889
B08QYJJS9B,18/12/2020 00:00,FALSE,R580,Coredy,R21Q1,289.8369231,4.51,"coredy r580 robot vacuum cleaner, wi-fi, app controls, work with alexa, sweep and mop, 2000pa strong suction, virtual boundary supported, slim, quiet robotic vacuum cleaner cleans hard floor to carpet",None,2000,120,6927
B077HW9XM7,31/05/2019 00:00,FALSE,N79S,ECOVACS,R21Q1,198.8546341,4.05,"ecovacs deebot n79s robotic vacuum cleaner with max power suction, upto 110 min runtime, hard floors and carpets, works with alexa, app controls, self-charging, quiet",None,1000,120,6938
B084Z5P2BX,19/02/2020 00:00,FALSE,s6,roborock,R20Q3,553.3233333,4.417647059,"roborock s6 pure robot vacuum and mop, multi-floor mapping, lidar navigation, no-go zones, selective room cleaning, 2000pa suction, wi-fi connected, alexa voice control (black)","B084Z5P2BX,B08BC1RJRV",2000,180,6956
B07RHZ6CVX,08/05/2019 00:00,FALSE,g30,eufy,R20Q3,325.99,4.185,"eufy by anker, robovac g30, robot vacuum with smart dynamic navigation 2.0, 2000 pa strong suction, wi-fi, compatible with alexa, carpets and hard floors, ideal for pet owners","B09LGZ6HV7,B07RHZ6CVX",2000,100,6977
B01MQIGKMM,14/11/2016 00:00,FALSE,B01MQIGKMM,PURE CLEAN,R21Q2,96.26427481,3.4,pure clean robot vacuum cleaner - upgraded lithium battery 90 min run time - automatic bot self detects stairs pet hair allergies friendly robotic home cleaning for carpet hardwood floor - pucrc25,None,1200,90,6980
B07Q7Y84S6,01/06/2019 00:00,FALSE,500,ECOVACS,R20Q4,165.0125352,4.2,"ecovacs deebot 500 robot vacuum cleaner with max power suction, up to 110 min runtime, hard floors & carpets, pet hair, app controls, self-charging, quiet, large, black, 8 each",None,1000,110,6982
B07QNM7YDM,26/11/2017 00:00,FALSE,e5,iRobot,R20Q1,299.4910656,4.342857143,"irobot roomba e5 (5150) robot vacuum - wi-fi connected, works with alexa, ideal for pet hair, carpets, hard, self-charging robotic vacuum, black","B07QNM7YDM,B095WVDKKJ,B07ZHNK7P2,B07ZHMR977,B07ZHMPS1K",1700,90,6983
B083Z8WVD3,12/04/2020 00:00,FALSE,B083Z8WVD3,Ultenic,R20Q3,199,4.688235294,"ultenic d5 robot vacuum cleaner, wi-fi & alexa control, 2200pa strong suction, super-thin, 500ml large dustbox, boundary strips, ieal for pet hair carpets hard floor(water tank not included)",None,2200,120,7017
B083DJTZ46,01/01/2020 00:00,TRUE,B083DJTZ46,Dser,R20Q3,219.99,4.273684211,"robot vacuum, dser 23t 2200pa robotic vacuum cleaner, wi-fi connected, 2 boundary strips, self-charging, multiple cleaning modes vacuum for hard floor carpets and pet hair, work with alexa",None,2200,120,7046
B086214HTZ,10/04/2020 00:00,FALSE,T8,ECOVACS,R20Q4,720.4603704,4.14,"ecovacs deebot t8 aivi robot vacuum cleaner, vacumming and mopping in one-go, laser mapping, smart ai object recognition, on-demand live video, custom clean, 3+ hours of runtime",None,2000,180,7066
B08CSVDHTR,18/08/2020 00:00,FALSE,T8,ECOVACS,R20Q4,555.4005405,4.370588235,"ecovacs deebot t8 robot vacuum and mop cleaner, precise laser navigation, multi-floor mapping, intelligent object avoidance, full-customize clean, no-go and no-mop zones, auto-empty station compatible",None,2000,180,7066
