,asin,com,market_ids,variation,listed_date,salesRANK,prices,ave_rating,color,itemLength,itemWidth,itemHeight,itemWeight,Fra_income,sales,Brand,Firm,suction,isEligibleForSuperSaverShipping,Wok_1charge,year,pro_age
22,B00IPEZKBW,2016-12B00IPEZKBW,2016-12,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,46,249,4.375,Black,432,457,127,5216,68955360,37865,614,iRobot,600,FALSE,90,2016,6
23,B00IPEZKBW,2016-07B00IPEZKBW,2016-07,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,3,327,4.25,Black,432,457,127,5216,68949540,73139,614,iRobot,600,FALSE,90,2016,6
24,B00IPEZKBW,2019-03B00IPEZKBW,2019-03,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,3,222.86,4.25,Black,432,457,127,5216,73269680,73139,614,iRobot,600,FALSE,90,2019,3
25,B00IPEZKBW,2018-07B00IPEZKBW,2018-07,"B00IPEZKBW,B07VJQG6FN,B07Z2864P3,B07Z277N74,B07Z27CKPZ",01/06/2016 00:00,686,224.99,4.3,Black,432,457,127,5216,72492000,12177,614,iRobot,600,FALSE,90,2018,4
26,B01FS67F3U,2017-09B01FS67F3U,2017-09,None,17/05/2016 00:00,291253,109.9,3.55,Black-white,390,350,110,2500,71072100,1,B01FS67F3U,FINE DRAGON,860,FALSE,50,2017,5
27,B01FS67F3U,2018-02B01FS67F3U,2018-02,None,17/05/2016 00:00,180075,99.99,3.4,Black-white,390,350,110,2500,71880000,1,B01FS67F3U,FINE DRAGON,860,FALSE,50,2018,4
28,B01FS67F3U,2018-03B01FS67F3U,2018-03,None,17/05/2016 00:00,341834,99.99,3.1,Black-white,390,350,110,2500,71922000,1,B01FS67F3U,FINE DRAGON,860,FALSE,50,2018,4
29,B01FS67F3U,2018-01B01FS67F3U,2018-01,None,17/05/2016 00:00,118928,88.9,3.5,Black-white,390,350,110,2500,72162000,67,B01FS67F3U,FINE DRAGON,860,FALSE,50,2018,4
30,B01FS67F3U,2017-03B01FS67F3U,2017-03,None,17/05/2016 00:00,92668,60,3.25,Black-white,390,350,110,2500,70424640,277,B01FS67F3U,FINE DRAGON,860,FALSE,50,2017,5
31,B01FS67F3U,2017-01B01FS67F3U,2017-01,None,17/05/2016 00:00,83099,119.99,3.2,Black-white,390,350,110,2500,70567200,354,B01FS67F3U,FINE DRAGON,860,FALSE,50,2017,5
32,B01FS67F3U,2017-04B01FS67F3U,2017-04,None,17/05/2016 00:00,74002,39,3.5,Black-white,390,350,110,2500,70751340,427,B01FS67F3U,FINE DRAGON,860,FALSE,50,2017,5
33,B01G6XTDA2,2017-04B01G6XTDA2,2017-04,None,04/05/2016 00:00,2256134,80,1.5,Black With White,344,344,91,3000,70751340,1,B01G6XTDA2,FINE DRAGON,860,FALSE,80,2017,5
34,B01J2WUUVK,2017-02B01J2WUUVK,2017-02,None,03/09/2016 00:00,128033,299,4.6,Black,330,330,80,3175,70709760,1,B01J2WUUVK,crenova,1200,FALSE,90,2017,5
35,B01J2WUUVK,2017-11B01J2WUUVK,2017-11,None,03/09/2016 00:00,132936,299,4.2,Black,330,330,80,3175,71404740,1,B01J2WUUVK,crenova,1200,FALSE,90,2017,5
36,B01J2WUUVK,2017-07B01J2WUUVK,2017-07,None,03/09/2016 00:00,26795,229,4.5,Black,330,330,80,3175,70383060,1109,B01J2WUUVK,crenova,1200,FALSE,90,2017,5
37,B01J2WUUVK,2017-05B01J2WUUVK,2017-05,None,03/09/2016 00:00,38225,229,4.55,Black,330,330,80,3175,70804800,819,B01J2WUUVK,crenova,1200,FALSE,90,2017,5
38,B01LYCLS24,2019-10B01LYCLS24,2019-10,None,30/09/2016 00:00,69410,389.35,4,Black,330,326,78,3021,74168180,464,11,eufy,1000,FALSE,90,2019,3
