com,market_ids,asin,variation,listed_date,salesRANK,prices,ave_rating,color,itemLength,itemWidth,itemHeight,itemWeight,Fra_income,sales
2019-06B07R295MLS,2019-06,B07R295MLS,"B07R295MLS,B07R3S2PVX",23/04/2019 00:00,1100,199.99,4.8,Black,325,325,72,2599,73281660,9574
2020-03B07R3S2PVX,2020-03,B07R3S2PVX,"B07R295MLS,B07R3S2PVX",23/04/2019 00:00,1020,169.99,4.325,White,325,325,72,2599,75975680,9923
2020-02B07R295MLS,2020-02,B07R295MLS,"B07R295MLS,B07R3S2PVX",23/04/2019 00:00,902,179.99,4.466666667,Black,325,325,72,2599,75361600,10438
2020-01B07JZ6MTC4,2020-01,B07JZ6MTC4,None,29/10/2018 00:00,826,159.99,4.35,Black,325,325,72,2599,75550080,10770
2019-07B07PX2HQQ4,2019-07,B07PX2HQQ4,None,26/03/2019 00:00,635,210,4.893333333,Black,315,315,69,2599,73275670,12756
2019-08B07R295MLS,2019-08,B07R295MLS,"B07R295MLS,B07R3S2PVX",23/04/2019 00:00,399,199.99,4.71,Black,325,325,72,2599,73521260,15451
2019-01B07H3JNDL5,2019-01,B07H3JNDL5,"B07H3JNDL5,B07MPS81HR",04/09/2018 00:00,300,279.99,4.414634146,Black,454.914,343.916,125.984,2599,73335570,18231
2019-09B07DF9GVK9,2019-09,B07DF9GVK9,"B079QYYGF1,B07DF9GVK9",31/05/2018 00:00,227,239.99,4.45,White,441.96,346.964,128.016,2599,73754870,20281
2019-09B079QYYGF1,2019-09,B079QYYGF1,"B079QYYGF1,B07DF9GVK9",07/02/2018 00:00,211,229.99,4.45,Black,325,325,72,2599,73754870,20730
2019-08B079QYYGF1,2019-08,B079QYYGF1,"B079QYYGF1,B07DF9GVK9",07/02/2018 00:00,189,219.51,4.45,Black,325,325,72,2599,73521260,21782
2019-08B07DF9GVK9,2019-08,B07DF9GVK9,"B079QYYGF1,B07DF9GVK9",31/05/2018 00:00,189,239.99,4.45,White,441.96,346.964,128.016,2599,73521260,21782
2018-10B079QYYGF1,2018-10,B079QYYGF1,"B079QYYGF1,B07DF9GVK9",07/02/2018 00:00,172,199,4.544444444,Black,325,325,72,2599,73428000,22930
2019-04B079QYYGF1,2019-04,B079QYYGF1,"B079QYYGF1,B07DF9GVK9",07/02/2018 00:00,171,223.95,4.447619048,Black,325,325,72,2599,73389480,22997
2018-08B07DF9GVK9,2018-08,B07DF9GVK9,"B079QYYGF1,B07DF9GVK9",31/05/2018 00:00,137,184.99,4.555813953,White,441.96,346.964,128.016,2599,72786000,25293
2018-08B079QYYGF1,2018-08,B079QYYGF1,"B079QYYGF1,B07DF9GVK9",07/02/2018 00:00,98,177,4.559090909,Black,325,325,72,2599,72786000,28105
2019-05B07JZ6MTC4,2019-05,B07JZ6MTC4,None,29/10/2018 00:00,98,167.99,4.6,Black,325,325,72,2599,73383490,28105
2018-07B07DF9GVK9,2018-07,B07DF9GVK9,"B079QYYGF1,B07DF9GVK9",31/05/2018 00:00,95,229.99,4.377777778,White,441.96,346.964,128.016,2599,72492000,28577
2019-11B079QYYGF1,2019-11,B079QYYGF1,"B079QYYGF1,B07DF9GVK9",07/02/2018 00:00,88,218.99,4.7,Black,325,325,72,2599,74174170,29677
2019-12B07R295MLS,2019-12,B07R295MLS,"B07R295MLS,B07R3S2PVX",23/04/2019 00:00,83,179,4.445454545,Black,325,325,72,2599,74401790,30462
2019-01B079QYYGF1,2019-01,B079QYYGF1,"B079QYYGF1,B07DF9GVK9",07/02/2018 00:00,81,215.1,4.75,Black,325,325,72,2599,73335570,30777
2018-05B079QYYGF1,2018-05,B079QYYGF1,"B079QYYGF1,B07DF9GVK9",07/02/2018 00:00,69,186.99,4.65,Black,325,325,72,2599,72792000,32662
2019-05B07H3JNDL5,2019-05,B07H3JNDL5,"B07H3JNDL5,B07MPS81HR",04/09/2018 00:00,50,179.99,4.3,Black,454.914,343.916,125.984,2599,73383490,35648
2018-07B079QYYGF1,2018-07,B079QYYGF1,"B079QYYGF1,B07DF9GVK9",07/02/2018 00:00,27,229.99,4.490697674,Black,325,325,72,2599,72492000,48398
2019-05B079QYYGF1,2019-05,B079QYYGF1,"B079QYYGF1,B07DF9GVK9",07/02/2018 00:00,27,223.99,4.42,Black,325,325,72,2599,73383490,48398
2019-12B079QYYGF1,2019-12,B079QYYGF1,"B079QYYGF1,B07DF9GVK9",07/02/2018 00:00,15,159.99,4.7,Black,325,325,72,2599,74401790,55050
2019-10B07H3JNDL5,2019-10,B07H3JNDL5,"B07H3JNDL5,B07MPS81HR",04/09/2018 00:00,7,169.99,3.9,Black,454.914,343.916,125.984,2599,74168180,64387
2018-12B07H3JNDL5,2018-12,B07H3JNDL5,"B07H3JNDL5,B07MPS81HR",04/09/2018 00:00,4,195.99,4.364948454,Black,454.914,343.916,125.984,2599,73536000,70951
2019-07B079QYYGF1,2019-07,B079QYYGF1,"B079QYYGF1,B07DF9GVK9",07/02/2018 00:00,2,219.51,4.7,Black,325,325,72,2599,73275670,75328
2019-06B079QYYGF1,2019-06,B079QYYGF1,"B079QYYGF1,B07DF9GVK9",07/02/2018 00:00,1,149,4.485185185,Black,325,325,72,2599,73281660,77516
2019-06B07DF9GVK9,2019-06,B07DF9GVK9,"B079QYYGF1,B07DF9GVK9",31/05/2018 00:00,1,149,4.444444444,White,441.96,346.964,128.016,2599,73281660,77516
2019-10B07XWP6MPG,2019-10,B07XWP6MPG,None,14/09/2019 00:00,23516,249.93,4.766666667,Dark Black,330,330,69,2600,74168180,1226
2020-03B07XWP6MPG,2020-03,B07XWP6MPG,None,14/09/2019 00:00,11929,207.81,4.65,Dark Black,330,330,69,2600,75975680,2139
2020-02B07XWP6MPG,2020-02,B07XWP6MPG,None,14/09/2019 00:00,7722,209.93,4.75,Dark Black,330,330,69,2600,75361600,2840
2019-12B07XWP6MPG,2019-12,B07XWP6MPG,None,14/09/2019 00:00,6657,249.93,4.75,Dark Black,330,330,69,2600,74401790,2943
2019-11B07XWP6MPG,2019-11,B07XWP6MPG,None,14/09/2019 00:00,4577,209.93,4.75,Dark Black,330,330,69,2600,74174170,4013
2019-07B07D78Y5TN,2019-07,B07D78Y5TN,None,22/05/2018 00:00,3551,268.99,4.45,Black,325,72,325,2658,73275670,4601
2018-10B07D78Y5TN,2018-10,B07D78Y5TN,None,22/05/2018 00:00,2400,139,4.35,Black,325,72,325,2658,73428000,6097
2019-09B07D78Y5TN,2019-09,B07D78Y5TN,None,22/05/2018 00:00,2350,269.75,4.45,Black,325,72,325,2658,73754870,6177
2018-09B07D78Y5TN,2018-09,B07D78Y5TN,None,22/05/2018 00:00,872,214.98,4.351724138,Black,325,72,325,2658,73164000,10569
2019-05B07D78Y5TN,2019-05,B07D78Y5TN,None,22/05/2018 00:00,482,199.99,4.45,Black,325,72,325,2658,73383490,14492
2018-11B07D78Y5TN,2018-11,B07D78Y5TN,None,22/05/2018 00:00,102,199.99,4.457142857,Black,325,72,325,2658,73482000,27656
2019-02B07D78Y5TN,2019-02,B07D78Y5TN,None,22/05/2018 00:00,8,179.99,4.55,Black,325,72,325,2658,73191810,62198
2019-08B07D78Y5TN,2019-08,B07D78Y5TN,None,22/05/2018 00:00,3,179.99,4.442857143,Black,325,72,325,2658,73521260,73139
2018-09B07D75MVX9,2018-09,B07D75MVX9,"B07D75MVX9,B081T2LS87",04/04/2018 00:00,11420,299.99,5,Black,325,325,72,2676,73164000,2217
2019-05B07D75MVX9,2019-05,B07D75MVX9,"B07D75MVX9,B081T2LS87",04/04/2018 00:00,492,242.17,4.7,Black,325,325,72,2676,73383490,14379
2019-03B07D75MVX9,2019-03,B07D75MVX9,"B07D75MVX9,B081T2LS87",04/04/2018 00:00,381,299.95,4.35,Black,325,325,72,2676,73269680,15957
2019-10B07D75MVX9,2019-10,B07D75MVX9,"B07D75MVX9,B081T2LS87",04/04/2018 00:00,330,254,4.35,Black,325,325,72,2676,74168180,17389
2019-01B07D75MVX9,2019-01,B07D75MVX9,"B07D75MVX9,B081T2LS87",04/04/2018 00:00,300,239.99,4.350526316,Black,325,325,72,2676,73335570,18231
2019-02B07D75MVX9,2019-02,B07D75MVX9,"B07D75MVX9,B081T2LS87",04/04/2018 00:00,260,299.99,4.35,Black,325,325,72,2676,73191810,19354
2019-09B07D75MVX9,2019-09,B07D75MVX9,"B07D75MVX9,B081T2LS87",04/04/2018 00:00,112,285.57,4.35,Black,325,325,72,2676,73754870,26981
2018-10B07D75MVX9,2018-10,B07D75MVX9,"B07D75MVX9,B081T2LS87",04/04/2018 00:00,83,126,4.2296875,Black,325,325,72,2676,73428000,30462
2018-12B07D75MVX9,2018-12,B07D75MVX9,"B07D75MVX9,B081T2LS87",04/04/2018 00:00,70,293.99,4.369230769,Black,325,325,72,2676,73536000,32505
2019-12B07D75MVX9,2019-12,B07D75MVX9,"B07D75MVX9,B081T2LS87",04/04/2018 00:00,62,179.55,4.35,Black,325,325,72,2676,74401790,33762
2020-01B07D75MVX9,2020-01,B07D75MVX9,"B07D75MVX9,B081T2LS87",04/04/2018 00:00,19,179,4.4,Black,325,325,72,2676,75550080,52833
2018-11B07D75MVX9,2018-11,B07D75MVX9,"B07D75MVX9,B081T2LS87",04/04/2018 00:00,17,209.99,4.297247706,Black,325,325,72,2676,73482000,53942
2019-11B07D75MVX9,2019-11,B07D75MVX9,"B07D75MVX9,B081T2LS87",04/04/2018 00:00,14,189,4.381818182,Black,325,325,72,2676,74174170,55605
2019-06B07MQR7LVX,2019-06,B07MQR7LVX,None,10/02/2019 00:00,338392,201.99,5,Black,330,330,76,2699,73281660,1
2019-07B07MQR7LVX,2019-07,B07MQR7LVX,None,10/02/2019 00:00,301903,199.99,4,Black,330,330,76,2699,73275670,1
2019-10B07Y31C6JJ,2019-10,B07Y31C6JJ,None,16/10/2019 00:00,133834,209.99,5,Black,330,330,76,2699,74168180,1
