asin,listed_date,isEligibleForSuperSaverShipping,Brand,Firm,market_ids,prices,ave_rating,title,variationCSV,suction,Wok_1charge,sales,itemWidth,itemHeight,itemWeight
B07KKFBBV4,14/11/2018 00:00,FALSE,35c,eufy,R21Q4,257.2046154,4.2,"eufy by anker, boostiq robovac 35c, robot vacuum cleaner, wi-fi, upgraded, super-thin, 1500pa strong suction, touch-control panel, 6ft boundary strips, quiet, cleans hard floors to medium-pile carpets",None,1500,100,1,325,72,2699
B07KKFBBV4,14/11/2018 00:00,FALSE,35c,eufy,R20Q1,247.2172727,4.354545455,"eufy by anker, boostiq robovac 35c, robot vacuum cleaner, wi-fi, upgraded, super-thin, 1500pa strong suction, touch-control panel, 6ft boundary strips, quiet, cleans hard floors to medium-pile carpets",None,1500,100,580,325,72,2699
B07KKFBBV4,14/11/2018 00:00,FALSE,35c,eufy,R21Q1,358.6572656,4.1,"eufy by anker, boostiq robovac 35c, robot vacuum cleaner, wi-fi, upgraded, super-thin, 1500pa strong suction, touch-control panel, 6ft boundary strips, quiet, cleans hard floors to medium-pile carpets",None,1500,100,1,325,72,2699
B07KKFBBV4,14/11/2018 00:00,FALSE,35c,eufy,R20Q2,280.336875,4.333333333,"eufy by anker, boostiq robovac 35c, robot vacuum cleaner, wi-fi, upgraded, super-thin, 1500pa strong suction, touch-control panel, 6ft boundary strips, quiet, cleans hard floors to medium-pile carpets",None,1500,100,203,325,72,2699
B082LYK441,01/01/2011 00:00,FALSE,35c,eufy,R20Q4,199.6675,4.133333333,"eufy [boostiq] robovac 35c, robot vacuum cleaner, wi-fi, upgraded, super-thin, 1500pa strong suction, touch-control panel, 6ft boundary strips, quiet, self-charging, cleans hard floors(renewed)",None,1500,100,1,325,72,2699
B082LYK441,01/01/2011 00:00,FALSE,35c,eufy,R21Q1,202.99,3.76,"eufy [boostiq] robovac 35c, robot vacuum cleaner, wi-fi, upgraded, super-thin, 1500pa strong suction, touch-control panel, 6ft boundary strips, quiet, self-charging, cleans hard floors(renewed)",None,1500,100,1,325,72,2699
B082LYK441,01/01/2011 00:00,FALSE,35c,eufy,R21Q2,202.99,3.75,"eufy [boostiq] robovac 35c, robot vacuum cleaner, wi-fi, upgraded, super-thin, 1500pa strong suction, touch-control panel, 6ft boundary strips, quiet, self-charging, cleans hard floors(renewed)",None,1500,100,1,325,72,2699
B082LYK441,01/01/2011 00:00,FALSE,35c,eufy,R21Q3,190.8166667,3.75,"eufy [boostiq] robovac 35c, robot vacuum cleaner, wi-fi, upgraded, super-thin, 1500pa strong suction, touch-control panel, 6ft boundary strips, quiet, self-charging, cleans hard floors(renewed)",None,1500,100,1,325,72,2699
B082LYK441,01/01/2011 00:00,FALSE,35c,eufy,R21Q4,167.24,3.685714286,"eufy [boostiq] robovac 35c, robot vacuum cleaner, wi-fi, upgraded, super-thin, 1500pa strong suction, touch-control panel, 6ft boundary strips, quiet, self-charging, cleans hard floors(renewed)",None,1500,100,504,325,72,2699
B07W4S99CM,28/08/2019 00:00,FALSE,711S,ECOVACS,R20Q2,326.0867308,3.95,"ecovacs deebot 711s robot vacuum cleaner with smart navi 2.0 visual mapping, max power suction, up to 130 min runtime, hard floors & carpets, pet hair, app controls, self-charging, quiet, black","B07GDHPWCS,B07W4S99CM",1000,130,399,325,81,3597
B07W4S99CM,28/08/2019 00:00,FALSE,711S,ECOVACS,R21Q1,389.9727273,4.05,"ecovacs deebot 711s robot vacuum cleaner with smart navi 2.0 visual mapping, max power suction, up to 130 min runtime, hard floors & carpets, pet hair, app controls, self-charging, quiet, black","B07GDHPWCS,B07W4S99CM",1000,130,166,325,81,3597
