asin,listed_date,isEligibleForSuperSaverShipping,Brand,Firm,market_ids,prices,ave_rating,title,variationCSV,suction,Wok_1charge,sales,itemWidth,itemHeight,itemWeight
B078711F2H,12/12/2017 00:00,FALSE,B078711F2H,Xiaomi,R21Q2,379.796,3.95,"xiaomi mi smart automated robot vacuum cleaner 1st generation - robotic self-charging, 5200mah, 1800pa suction, app control, path planning vaccum sweeper easy for hard floor and carpet",None,1800,150,1,345,96,3800
B078711F2H,12/12/2017 00:00,FALSE,B078711F2H,Xiaomi,R20Q3,337.3111111,3.4,"xiaomi mi smart automated robot vacuum cleaner 1st generation - robotic self-charging, 5200mah, 1800pa suction, app control, path planning vaccum sweeper easy for hard floor and carpet",None,1800,150,1,345,96,3800
B078711F2H,12/12/2017 00:00,FALSE,B078711F2H,Xiaomi,R22Q1,448.995,4.1,"xiaomi mi smart automated robot vacuum cleaner 1st generation - robotic self-charging, 5200mah, 1800pa suction, app control, path planning vaccum sweeper easy for hard floor and carpet",None,1800,150,1,345,96,3800
B078711F2H,12/12/2017 00:00,FALSE,B078711F2H,Xiaomi,R20Q2,442.93,3.833333333,"xiaomi mi smart automated robot vacuum cleaner 1st generation - robotic self-charging, 5200mah, 1800pa suction, app control, path planning vaccum sweeper easy for hard floor and carpet",None,1800,150,1,345,96,3800
B078711F2H,12/12/2017 00:00,FALSE,B078711F2H,Xiaomi,R20Q4,380.6666667,3.6,"xiaomi mi smart automated robot vacuum cleaner 1st generation - robotic self-charging, 5200mah, 1800pa suction, app control, path planning vaccum sweeper easy for hard floor and carpet",None,1800,150,1,345,96,3800
B078711F2H,12/12/2017 00:00,FALSE,B078711F2H,Xiaomi,R21Q4,391.16,4.1,"xiaomi mi smart automated robot vacuum cleaner 1st generation - robotic self-charging, 5200mah, 1800pa suction, app control, path planning vaccum sweeper easy for hard floor and carpet",None,1800,150,1,345,96,3800
B078711F2H,12/12/2017 00:00,FALSE,B078711F2H,Xiaomi,R21Q1,374.8461538,3.8,"xiaomi mi smart automated robot vacuum cleaner 1st generation - robotic self-charging, 5200mah, 1800pa suction, app control, path planning vaccum sweeper easy for hard floor and carpet",None,1800,150,1,345,96,3800
B078MPFN55,13/03/2018 00:00,FALSE,B078MPFN55,Neato Robotics,R22Q1,557.59,4.05,"neato robotics botvac d7 connected robot vacuum - laser navigation, wi-fi connectivity, ideal for corners, pet hair, carpets & hard floors","B08X1H8VGG,B078MPFN55",2000,120,688,335,99,3629
B078MPFN55,13/03/2018 00:00,FALSE,B078MPFN55,Neato Robotics,R21Q3,521.8563158,4.04,"neato robotics botvac d7 connected robot vacuum - laser navigation, wi-fi connectivity, ideal for corners, pet hair, carpets & hard floors","B08X1H8VGG,B078MPFN55",2000,120,1828,335,99,3629
B078MPFN55,13/03/2018 00:00,FALSE,B078MPFN55,Neato Robotics,R21Q4,688.216,4.0125,"neato robotics botvac d7 connected robot vacuum - laser navigation, wi-fi connectivity, ideal for corners, pet hair, carpets & hard floors","B08X1H8VGG,B078MPFN55",2000,120,1298,335,99,3629
B078MPFN55,13/03/2018 00:00,FALSE,B078MPFN55,Neato Robotics,R20Q4,523.4969963,4.1,"neato robotics botvac d7 connected robot vacuum - laser navigation, wi-fi connectivity, ideal for corners, pet hair, carpets & hard floors","B08X1H8VGG,B078MPFN55",2000,120,3807,335,99,3629
B08X1H8VGG,26/05/2021 00:00,TRUE,B078MPFN55,Neato Robotics,R22Q1,693.8507692,2.961538462,"neato d10 intelligent robot vacuum cleaner–lasersmart nav, smart mapping, cleaning zones, wifi connected, 300-min runtime, powerful suction, max clean, corners, pet hair, xxl dustbin, alexa. 945-0446","B08X1H8VGG,B078MPFN55",2000,120,640,335,99,3629
B08X1H8VGG,26/05/2021 00:00,TRUE,B078MPFN55,Neato Robotics,R21Q4,713.3741667,2.620833333,"neato d10 intelligent robot vacuum cleaner–lasersmart nav, smart mapping, cleaning zones, wifi connected, 300-min runtime, powerful suction, max clean, corners, pet hair, xxl dustbin, alexa. 945-0446","B08X1H8VGG,B078MPFN55",2000,120,2650,335,99,3629
B07GS479HT,23/08/2018 00:00,FALSE,B07BBHPCXK,EP-ROBOT,R20Q4,193.9866667,3.95,"robotic vacuum cleaner strong suction for carpets and hard floors, 1400pa vacuum robot cleaner with long life battery, high capacity water tank for wet/dry mopping, smart schedule cleaning&self charge",None,1400,110,1,381,112,2404
B07GS479HT,23/08/2018 00:00,FALSE,B07BBHPCXK,EP-ROBOT,R20Q3,154.98,4.025,"robotic vacuum cleaner strong suction for carpets and hard floors, 1400pa vacuum robot cleaner with long life battery, high capacity water tank for wet/dry mopping, smart schedule cleaning&self charge",None,1400,110,452,381,112,2404
B07GS479HT,23/08/2018 00:00,FALSE,B07BBHPCXK,EP-ROBOT,R20Q1,157.98,4.433333333,"robotic vacuum cleaner strong suction for carpets and hard floors, 1400pa vacuum robot cleaner with long life battery, high capacity water tank for wet/dry mopping, smart schedule cleaning&self charge",None,1400,110,257,381,112,2404
B07GS479HT,23/08/2018 00:00,FALSE,B07BBHPCXK,EP-ROBOT,R21Q1,168.65,3.9,"robotic vacuum cleaner strong suction for carpets and hard floors, 1400pa vacuum robot cleaner with long life battery, high capacity water tank for wet/dry mopping, smart schedule cleaning&self charge",None,1400,110,1,381,112,2404
B07GS479HT,23/08/2018 00:00,FALSE,B07BBHPCXK,EP-ROBOT,R20Q2,129.945,4.05,"robotic vacuum cleaner strong suction for carpets and hard floors, 1400pa vacuum robot cleaner with long life battery, high capacity water tank for wet/dry mopping, smart schedule cleaning&self charge",None,1400,110,577,381,112,2404
B07BBHPCXK,28/07/2021 00:00,FALSE,B07BBHPCXK,EP-ROBOT,R21Q3,107.235,3,"robotic vacuum cleaner strong suction for carpets and hard floors, 1400pa vacuum robot cleaner with long life battery, high capacity water tank for wet/dry mopping, smart schedule cleaning&self charge",None,1400,110,1,381,112,2404
B07BBKCMXL,08/03/2018 00:00,FALSE,B07BBKCMXL,EP-ROBOT,R20Q1,132.108,3.033333333,"robot vacuum cleaner 1300pa powerful suction for carpets/rugs and hard floors, ultra quiet and super thin robotic vacuum cleaner with self charging and smart anti collision/drop sensors,daily schedule",None,1300,300,136,330,79,3629
B07BBKCMXL,08/03/2018 00:00,FALSE,B07BBKCMXL,EP-ROBOT,R20Q2,131.76,3,"robot vacuum cleaner 1300pa powerful suction for carpets/rugs and hard floors, ultra quiet and super thin robotic vacuum cleaner with self charging and smart anti collision/drop sensors,daily schedule",None,1300,300,1,330,79,3629
B07BBKCMXL,08/03/2018 00:00,FALSE,B07BBKCMXL,EP-ROBOT,R20Q3,62.77333333,3.066666667,"robot vacuum cleaner 1300pa powerful suction for carpets/rugs and hard floors, ultra quiet and super thin robotic vacuum cleaner with self charging and smart anti collision/drop sensors,daily schedule",None,1300,300,1,330,79,3629
B07BBKCMXL,08/03/2018 00:00,FALSE,B07BBKCMXL,EP-ROBOT,R21Q3,109.98,3.8,"robot vacuum cleaner 1300pa powerful suction for carpets/rugs and hard floors, ultra quiet and super thin robotic vacuum cleaner with self charging and smart anti collision/drop sensors,daily schedule",None,1300,300,1,330,79,3629
B07BYYTQLR,06/04/2018 00:00,FALSE,B07BYYTQLR,Tenergy,R22Q1,149.99,3.8,"tenergy otis robot vacuum cleaner, max power suction robotic vacuum, self-charging, smart sensor, pet hair filter friendly, remote control vacuum cleans hard floors/thin carpets","B07BYYTQLR,B07JVQZM3X",1200,90,1,337,95,3000
B07BYYTQLR,06/04/2018 00:00,FALSE,B07BYYTQLR,Tenergy,R20Q4,149.99,3.76,"tenergy otis robot vacuum cleaner, max power suction robotic vacuum, self-charging, smart sensor, pet hair filter friendly, remote control vacuum cleans hard floors/thin carpets","B07BYYTQLR,B07JVQZM3X",1200,90,1538,337,95,3000
B07F8ZQDSZ,05/07/2018 00:00,FALSE,B07F8ZQDSZ,roborock,R21Q3,349.99,4.35,"roborock robot vacuum cleaner sweeping and mopping robotic vacuum with app control, 2000pa strong suction for thin carpet, pet hair and all types of floor",None,2000,100,2738,91,351,3600
B07F8ZQDSZ,05/07/2018 00:00,FALSE,B07F8ZQDSZ,roborock,R20Q1,253.3233333,4.35,"roborock robot vacuum cleaner sweeping and mopping robotic vacuum with app control, 2000pa strong suction for thin carpet, pet hair and all types of floor",None,2000,100,30934,91,351,3600
B07FHYPBFP,01/07/2018 00:00,FALSE,B07FHYPBFP,FHENGRUI,R21Q1,272.8566667,3.7,fengrui fr-e701 robot vacuum cleaner with water tank mop cost-effective automatic remote control for pet hair carpets hard floor low noise surfaces 12.7x13x3.34 inches pink,"B07FHYVBTD,B07FHYPBFP",1200,150,1,388.62,157.48,1588
B07FHYVBTD,01/07/2018 00:00,FALSE,B07FHYPBFP,FHENGRUI,R22Q1,198.99,3.6,fengrui fr-e701 robot vacuum cleaner with water tank mop cost-effective automatic remote control for pet hair carpets hard floor low noise surfaces 12.7x13x3.34 inches gold,"B07FHYVBTD,B07FHYPBFP",1200,150,1,396.24,157.48,1588
B07FHYVBTD,01/07/2018 00:00,FALSE,B07FHYPBFP,FHENGRUI,R20Q4,105.21,3.6,fengrui fr-e701 robot vacuum cleaner with water tank mop cost-effective automatic remote control for pet hair carpets hard floor low noise surfaces 12.7x13x3.34 inches gold,"B07FHYVBTD,B07FHYPBFP",1200,150,1,396.24,157.48,1588
B07FHYVBTD,01/07/2018 00:00,FALSE,B07FHYPBFP,FHENGRUI,R20Q2,105.21,3.766666667,fengrui fr-e701 robot vacuum cleaner with water tank mop cost-effective automatic remote control for pet hair carpets hard floor low noise surfaces 12.7x13x3.34 inches gold,"B07FHYVBTD,B07FHYPBFP",1200,150,1,396.24,157.48,1588
